address,db_time,uptime_ms,bmp085_temp_decic,bmp085_press_pa,batt_mv,panel_mv,apogee_mv,apogee_w_m2,panel_ma
104,2013-07-03 21:59:32.960517-10,1391209,293,101126,4105,4281,326,1630,18320
104,2013-07-03 21:59:47.771517-10,1406009,293,101124,4066,4330,326,1630,17460
104,2013-07-03 22:00:02.579534-10,1420809,294,101119,4056,4252,328,1640,17460
104,2013-07-03 22:00:17.391547-10,1435609,294,101121,4071,4271,328,1640,17930
104,2013-07-03 22:00:32.20354-10,1450409,295,101123,4105,4310,326,1630,17650
104,2013-07-03 22:00:47.013567-10,1465209,296,101125,4071,4291,328,1640,17710
104,2013-07-03 22:01:01.828567-10,1480009,297,101115,4076,4330,328,1640,17440
104,2013-07-03 22:01:16.636579-10,1494809,296,101121,4081,4291,328,1640,16970
104,2013-07-03 22:01:31.451597-10,1509609,294,101117,4095,4076,328,1640,17960
104,2013-07-03 22:01:46.273624-10,1524409,295,101109,4105,3470,328,1640,17880
104,2013-07-03 22:02:01.070613-10,1539209,293,101116,4090,3000,326,1630,17670
104,2013-07-03 22:02:15.874607-10,1554009,291,101123,4086,0,328,1640,17490
104,2013-07-03 22:02:30.695635-10,1568809,290,101120,4037,2316,326,1630,17620
104,2013-07-03 22:02:45.503641-10,1583609,290,101116,4071,2003,327,1635,17480
104,2013-07-03 22:03:00.315653-10,1598409,288,101123,4071,1730,328,1640,17920
104,2013-07-03 22:03:15.124652-10,1613209,287,101125,4076,1485,328,1640,17370
104,2013-07-03 22:03:29.938664-10,1628009,288,101120,4056,1270,327,1635,17460
104,2013-07-03 22:03:44.748666-10,1642809,290,101128,4071,1143,328,1640,17780
104,2013-07-03 22:03:59.558686-10,1657609,289,101123,4071,987,326,1630,17590
104,2013-07-03 22:04:14.369743-10,1672409,289,101123,4071,4340,328,1640,17780
104,2013-07-03 22:04:29.179685-10,1687209,288,101119,4105,3753,326,1630,17800
104,2013-07-03 22:04:43.995714-10,1702009,285,101126,4042,3118,328,1640,17910
104,2013-07-03 22:04:58.802721-10,1716809,283,101106,4095,4330,328,1640,17590
104,2013-07-03 22:05:13.617762-10,1731609,284,101118,4042,4349,326,1630,16650
104,2013-07-03 22:05:28.427743-10,1746409,286,101118,4071,4301,328,1640,18040
104,2013-07-03 22:05:43.23674-10,1761209,287,101116,4066,4301,326,1630,17630
104,2013-07-03 22:05:58.048755-10,1776009,289,101121,4095,4320,327,1635,18780
104,2013-07-03 22:06:12.856769-10,1790809,290,101119,4051,4242,328,1640,18770
104,2013-07-03 22:06:27.671774-10,1805609,291,101112,4105,4349,326,1630,18660
104,2013-07-03 22:06:42.479782-10,1820409,292,101117,4081,4310,327,1635,19440
104,2013-07-03 22:06:57.289824-10,1835209,293,101116,4076,4232,328,1640,17500
104,2013-07-03 22:07:12.10281-10,1850009,294,101113,4081,3607,326,1630,18810
104,2013-07-03 22:07:26.920816-10,1864809,295,101112,4071,3040,326,1630,18950
104,2013-07-03 22:07:41.726815-10,1879609,295,101104,4071,4301,326,1630,17770
104,2013-07-03 22:07:56.537858-10,1894409,296,101118,4081,4320,328,1640,18010
104,2013-07-03 22:08:11.34685-10,1909209,296,101089,4086,3910,328,1640,17890
104,2013-07-03 22:08:27.790852-10,1924009,297,101099,4105,3304,327,1635,17930
104,2013-07-03 22:11:13.791948-10,2086809,301,101034,4095,508,326,1630,17990
104,2013-07-03 22:11:28.627944-10,2101609,301,101036,4081,420,328,1640,17650
104,2013-07-03 22:11:38.82097-10,2116409,301,101057,4086,537,326,1630,18290
104,2013-07-03 22:11:53.510964-10,2131209,301,101057,4056,439,326,1630,17750
104,2013-07-03 22:12:08.329976-10,2146009,301,101054,4071,361,326,1630,17510
104,2013-07-03 22:12:23.141981-10,2160809,301,101054,4086,293,328,1640,17730
104,2013-07-03 22:12:37.951999-10,2175609,301,101057,4066,244,327,1635,17690
104,2013-07-03 22:12:52.756985-10,2190409,301,101059,4095,254,328,1640,17620
104,2013-07-03 22:13:07.573009-10,2205209,301,101055,4081,234,326,1630,18700
104,2013-07-03 22:13:22.381026-10,2220009,301,101053,4095,166,328,1640,17900
104,2013-07-03 22:13:37.200048-10,2234809,301,101050,4071,146,326,1630,17920
104,2013-07-03 22:13:52.002036-10,2249609,301,101057,4056,97,328,1640,17520
104,2013-07-03 22:14:06.816066-10,2264409,301,101056,4071,127,327,1635,17280
104,2013-07-03 22:14:21.63005-10,2279209,301,101059,4105,68,327,1635,18490
104,2013-07-03 22:14:36.436079-10,2294009,301,101062,4066,58,326,1630,17370
104,2013-07-03 22:14:51.245065-10,2308809,301,101057,4090,48,328,1640,16760
104,2013-07-03 22:15:06.060092-10,2323609,301,101056,4090,68,326,1630,16700
104,2013-07-03 22:15:20.870079-10,2338409,301,101053,4066,68,328,1640,17120
